Values,Timestamp,1000_MA,5000_MA,Moving_Avg_5
98,2024-06-26 09:57:00,,,97.8
93,2024-06-26 10:58:00,,,92.8
83,2024-06-26 11:49:00,,,82.8
79,2024-06-26 12:01:00,,,78.8
62,2024-06-26 12:55:00,,,61.2
59,2024-06-26 13:07:00,,,58.6
90,2024-06-26 15:23:00,76.508,,80.2
81,2024-06-26 15:53:00,75.192,,80.6
43,2024-06-26 18:14:00,61.521,,42.8
100,2024-06-26 22:31:00,46.223,,100.0
85,2024-06-27 00:33:00,65.266,,84.8
85,2024-06-27 03:16:00,74.639,,85.0
77,2024-06-27 03:54:00,78.602,,76.8
71,2024-06-27 04:24:00,80.875,,70.6
62,2024-06-27 05:04:00,80.973,,61.8
60,2024-06-27 05:12:00,80.368,,59.8
43,2024-06-27 06:20:00,69.631,,42.8
41,2024-06-27 06:33:00,67.074,,40.6
39,2024-06-27 06:55:00,63.044,,38.8
100,2024-06-27 14:09:00,61.571,,100.0
93,2024-06-27 15:26:00,68.019,,92.6
87,2024-06-27 15:52:00,69.519,,86.8
89,2024-06-27 19:43:00,70.591,,89.0
74,2024-06-27 20:38:00,77.359,,73.8
37,2024-06-27 23:04:00,60.7,65.4192,36.8
100,2024-06-28 06:54:00,45.032,60.5836,100.0
89,2024-06-28 11:30:00,70.32,64.2324,88.8
76,2024-06-28 12:55:00,86.018,66.1238,75.2
59,2024-06-28 14:04:00,85.292,67.1744,58.2
57,2024-06-28 14:13:00,83.79,67.3182,56.2
78,2024-06-28 15:40:00,78.283,67.7148,71.8
77,2024-06-28 15:46:00,78.142,67.781,77.0
72,2024-06-28 16:06:00,77.118,68.1474,71.6
66,2024-06-28 16:27:00,75.116,68.71,65.8
64,2024-06-28 16:34:00,74.397,68.873,63.8
54,2024-06-28 17:13:00,69.641,69.5516,53.8
49,2024-06-28 17:29:00,68.22,69.5408,48.8
48,2024-06-28 17:34:00,67.459,69.4942,47.8
45,2024-06-28 17:47:00,65.3,69.25,44.8
43,2024-06-28 17:58:00,63.7,68.9744,42.4
37,2024-06-28 18:36:00,57.362,67.2874,36.8
100,2024-06-28 21:11:00,51.377,64.716,100.0
98,2024-06-28 22:26:00,55.652,65.0406,97.8
82,2024-06-29 05:23:00,66.071,65.6582,82.0
82,2024-06-29 05:25:00,65.978,65.6404,81.8
57,2024-06-29 06:47:00,62.789,65.0358,56.4
42,2024-06-29 08:21:00,53.624,64.1698,42.0
42,2024-06-29 08:26:00,53.088,64.1494,42.0
39,2024-06-29 09:05:00,49.612,63.1944,39.0
100,2024-06-29 10:52:00,53.855,63.1416,100.0
92,2024-06-29 13:42:00,67.797,67.2634,91.4
92,2024-06-29 13:43:00,68.025,67.324,91.6
67,2024-06-29 17:07:00,86.065,69.2458,66.6
65,2024-06-29 17:15:00,85.092,69.0872,64.8
78,2024-06-29 20:02:00,70.163,66.5112,78.0
76,2024-06-29 20:10:00,69.752,66.4784,75.8
48,2024-06-29 22:02:00,60.105,66.1022,47.4
100,2024-06-30 03:00:00,54.443,65.1274,100.0
89,2024-06-30 06:06:00,64.59,69.0236,88.8
91,2024-06-30 10:28:00,77.473,66.5216,72.2
67,2024-06-30 11:39:00,74.331,66.796,66.6
60,2024-06-30 12:02:00,71.995,66.7604,59.8
49,2024-06-30 12:28:00,68.918,66.6764,48.4
39,2024-06-30 12:59:00,64.107,66.5698,38.8
34,2024-06-30 13:19:00,60.544,66.4918,33.4
26,2024-06-30 14:43:00,48.774,64.7476,25.8
100,2024-06-30 16:56:00,48.641,64.7698,100.0
91,2024-06-30 21:13:00,64.778,70.0818,90.8
83,2024-06-30 22:30:00,78.129,70.1698,82.8
68,2024-06-30 23:40:00,84.97,69.5674,67.8
68,2024-06-30 23:41:00,85.095,69.5516,67.6
68,2024-06-30 23:42:00,85.22,69.5358,67.6
83,2024-07-01 01:03:00,86.902,68.8954,83.0
80,2024-07-01 01:29:00,86.062,68.7994,79.2
66,2024-07-01 02:52:00,79.609,67.9624,65.6
49,2024-07-01 04:16:00,69.185,66.528,48.6
48,2024-07-01 04:23:00,68.249,66.408,47.6
100,2024-07-01 10:29:00,62.776,65.8654,100.0
86,2024-07-01 13:06:00,74.896,69.6178,85.8
50,2024-07-01 15:25:00,80.682,71.753,49.8
89,2024-07-01 16:45:00,79.329,71.8336,54.6
53,2024-07-01 18:53:00,70.131,71.1582,52.4
44,2024-07-01 19:38:00,64.035,69.7938,43.4
35,2024-07-01 21:07:00,53.662,66.9558,34.2
34,2024-07-01 21:28:00,51.768,66.3494,33.8
100,2024-07-01 23:15:00,46.852,65.6786,100.0
95,2024-07-01 23:43:00,49.716,66.6698,94.8
